Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Feb 1, 2023",23.95,25.13,22.64,24.99,24.99,"984,317,489",Solana (SOL)
"Jan 31, 2023",23.95,24.34,23.59,23.95,23.95,"617,019,880",Solana (SOL)
"Jan 30, 2023",26.14,26.25,23.49,23.95,23.95,"1,084,170,329",Solana (SOL)
"Jan 29, 2023",23.98,26.65,23.83,26.13,26.13,"1,131,621,628",Solana (SOL)
"Jan 28, 2023",24.41,25.02,23.84,23.98,23.98,"489,857,934",Solana (SOL)
"Jan 27, 2023",24.35,24.86,23.50,24.41,24.41,"682,926,581",Solana (SOL)
"Jan 26, 2023",24.56,25.12,23.95,24.35,24.35,"809,826,004",Solana (SOL)
"Jan 25, 2023",22.80,25.22,22.40,24.57,24.57,"1,166,026,842",Solana (SOL)
"Jan 24, 2023",24.35,25.17,22.65,22.80,22.80,"837,211,317",Solana (SOL)
"Jan 23, 2023",24.23,24.89,23.97,24.36,24.36,"874,649,827",Solana (SOL)
"Jan 22, 2023",24.62,25.39,23.76,24.23,24.23,"1,029,738,787",Solana (SOL)
"Jan 21, 2023",25.55,26.41,24.61,24.63,24.63,"1,948,796,870",Solana (SOL)
"Jan 20, 2023",21.43,25.68,21.00,25.55,25.55,"1,419,157,455",Solana (SOL)
"Jan 19, 2023",20.85,21.77,20.53,21.43,21.43,"799,641,392",Solana (SOL)
"Jan 18, 2023",22.89,23.48,20.69,20.85,20.85,"1,427,677,518",Solana (SOL)
"Jan 17, 2023",23.58,23.80,22.88,22.88,22.88,"926,501,252",Solana (SOL)
"Jan 16, 2023",22.88,24.75,22.59,23.58,23.58,"1,596,086,615",Solana (SOL)
"Jan 15, 2023",24.26,24.65,22.12,22.87,22.87,"1,661,787,281",Solana (SOL)
"Jan 14, 2023",18.29,24.57,18.27,24.25,24.25,"3,399,684,035",Solana (SOL)
"Jan 13, 2023",16.62,18.51,16.38,18.29,18.29,"1,037,251,176",Solana (SOL)
"Jan 12, 2023",16.79,16.81,15.74,16.62,16.62,"884,719,784",Solana (SOL)
"Jan 11, 2023",16.20,16.45,15.37,16.36,16.36,"630,606,082",Solana (SOL)
"Jan 10, 2023",16.30,16.64,15.71,16.20,16.20,"833,408,341",Solana (SOL)
"Jan 9, 2023",14.33,17.36,14.33,16.30,16.30,"2,029,272,608",Solana (SOL)
"Jan 8, 2023",13.09,14.33,12.92,14.32,14.32,"535,020,165",Solana (SOL)
"Jan 7, 2023",13.53,13.53,13.06,13.09,13.09,"210,349,250",Solana (SOL)
"Jan 6, 2023",13.42,13.54,12.77,13.53,13.53,"517,147,909",Solana (SOL)
"Jan 5, 2023",13.43,13.77,12.99,13.42,13.42,"564,255,825",Solana (SOL)
"Jan 4, 2023",13.35,14.10,12.92,13.44,13.44,"1,142,852,070",Solana (SOL)
"Jan 3, 2023",11.27,13.50,11.05,13.34,13.34,"1,149,255,381",Solana (SOL)
"Jan 2, 2023",9.98,11.37,9.85,11.27,11.27,"558,570,124",Solana (SOL)
"Jan 1, 2023",9.96,10.05,9.72,9.98,9.98,"194,221,164",Solana (SOL)
"Dec 31, 2022",9.88,10.15,9.69,9.96,9.96,"285,758,573",Solana (SOL)
"Dec 30, 2022",9.65,10.02,9.06,9.88,9.88,"837,030,648",Solana (SOL)
"Dec 29, 2022",9.76,9.83,8.14,9.65,9.65,"772,500,177",Solana (SOL)
"Dec 28, 2022",11.08,11.10,9.52,9.76,9.76,"468,728,777",Solana (SOL)
"Dec 27, 2022",11.31,11.39,10.77,11.09,11.09,"223,332,961",Solana (SOL)
"Dec 26, 2022",11.39,11.45,11.14,11.31,11.31,"132,410,401",Solana (SOL)
"Dec 25, 2022",11.44,11.53,11.27,11.39,11.39,"105,389,060",Solana (SOL)
"Dec 24, 2022",11.79,11.79,11.24,11.44,11.44,"202,780,776",Solana (SOL)
"Dec 23, 2022",11.79,12.08,11.76,11.79,11.79,"157,181,374",Solana (SOL)
"Dec 22, 2022",12.13,12.17,11.72,11.79,11.79,"181,200,151",Solana (SOL)
"Dec 21, 2022",12.28,12.28,11.93,12.13,12.13,"167,974,882",Solana (SOL)
"Dec 20, 2022",11.93,12.44,11.88,12.28,12.28,"177,388,342",Solana (SOL)
"Dec 19, 2022",12.42,12.57,11.74,11.93,11.93,"206,060,595",Solana (SOL)
"Dec 18, 2022",12.50,12.57,12.31,12.41,12.41,"110,722,042",Solana (SOL)
"Dec 17, 2022",12.27,12.51,11.99,12.50,12.50,"222,801,055",Solana (SOL)
"Dec 16, 2022",14.02,14.15,12.15,12.27,12.27,"358,747,840",Solana (SOL)
"Dec 15, 2022",14.14,14.47,13.91,14.02,14.02,"272,679,087",Solana (SOL)
"Dec 14, 2022",13.84,14.89,13.83,14.14,14.14,"441,479,811",Solana (SOL)
"Dec 13, 2022",13.32,14.06,12.83,13.83,13.83,"315,949,878",Solana (SOL)
"Dec 12, 2022",13.43,13.46,12.95,13.32,13.32,"205,298,705",Solana (SOL)
"Dec 11, 2022",13.58,13.78,13.41,13.43,13.43,"117,436,002",Solana (SOL)
"Dec 10, 2022",13.58,13.70,13.57,13.58,13.58,"109,293,691",Solana (SOL)
"Dec 9, 2022",13.69,13.98,13.54,13.58,13.58,"211,833,041",Solana (SOL)
"Dec 8, 2022",13.52,13.75,13.31,13.69,13.69,"195,918,913",Solana (SOL)
"Dec 7, 2022",14.29,14.31,13.50,13.52,13.52,"223,134,812",Solana (SOL)
"Dec 6, 2022",13.83,14.32,13.83,14.29,14.29,"279,979,830",Solana (SOL)
"Dec 5, 2022",13.72,14.14,13.63,13.83,13.83,"335,440,747",Solana (SOL)
"Dec 4, 2022",13.30,13.72,13.30,13.72,13.72,"141,802,483",Solana (SOL)
"Dec 3, 2022",13.72,13.73,13.28,13.30,13.30,"161,314,094",Solana (SOL)
"Dec 2, 2022",13.48,13.77,13.38,13.72,13.72,"245,049,936",Solana (SOL)
"Dec 1, 2022",14.13,14.15,13.44,13.48,13.48,"232,200,065",Solana (SOL)
"Nov 30, 2022",13.37,14.22,13.31,14.12,14.12,"331,594,403",Solana (SOL)
"Nov 29, 2022",13.40,13.90,13.28,13.37,13.37,"265,372,933",Solana (SOL)
"Nov 28, 2022",14.11,14.15,12.82,13.40,13.40,"447,463,511",Solana (SOL)
"Nov 27, 2022",14.16,14.41,14.08,14.12,14.12,"225,035,409",Solana (SOL)
"Nov 26, 2022",14.06,14.89,14.03,14.16,14.16,"333,271,818",Solana (SOL)
"Nov 25, 2022",14.58,14.58,13.96,14.06,14.06,"323,667,943",Solana (SOL)
"Nov 24, 2022",14.35,14.85,13.92,14.58,14.58,"620,159,372",Solana (SOL)
"Nov 23, 2022",12.44,14.40,12.43,14.35,14.35,"859,905,329",Solana (SOL)
"Nov 22, 2022",11.84,12.47,11.01,12.44,12.44,"529,418,278",Solana (SOL)
"Nov 21, 2022",12.25,12.26,11.34,11.85,11.85,"504,498,729",Solana (SOL)
"Nov 20, 2022",12.85,13.42,12.20,12.25,12.25,"508,411,732",Solana (SOL)
"Nov 19, 2022",13.25,13.26,12.64,12.85,12.85,"314,294,255",Solana (SOL)
"Nov 18, 2022",13.64,13.79,13.04,13.25,13.25,"357,193,046",Solana (SOL)
"Nov 17, 2022",14.29,14.46,13.08,13.64,13.64,"673,219,780",Solana (SOL)
"Nov 16, 2022",14.30,14.56,13.71,14.29,14.29,"487,495,993",Solana (SOL)
"Nov 15, 2022",14.00,14.97,13.93,14.30,14.30,"833,458,645",Solana (SOL)
"Nov 14, 2022",13.17,14.89,12.25,14.00,14.00,"1,365,413,449",Solana (SOL)
"Nov 13, 2022",14.54,14.66,13.12,13.16,13.16,"880,792,311",Solana (SOL)
"Nov 12, 2022",16.34,16.41,14.54,14.54,14.54,"866,923,655",Solana (SOL)
